epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.318,1.27881,4.0414,1.38706,0.00233,0.92105,0.29812,0.23256,0.93482,3.88744,1.09278,0.00044,0.00044,0.00044
2,250.772,1.00688,2.64807,1.18203,0.0024,0.94737,0.08262,0.03817,1.11346,4.16699,1.18282,0.00089109,0.00089109,0.00089109
3,367.225,1.09011,2.30653,1.23413,1,0.10245,0.38075,0.23373,1.22136,4.0858,1.43388,0.00133307,0.00133307,0.00133307
4,481.382,1.04235,2.08024,1.23337,0.46728,0.5,0.49591,0.32935,1.22346,3.79047,1.42991,0.00176595,0.00176595,0.00176595
5,596.049,1.1234,2.34413,1.25838,0.81055,0.60526,0.6586,0.4763,1.09922,3.08056,1.31432,0.0019208,0.0019208,0.0019208
6,710.131,1.15406,1.83014,1.26273,0.70531,0.63158,0.65373,0.43647,1.15493,3.62947,1.42318,0.001901,0.001901,0.001901
7,824.401,1.13029,1.90751,1.29051,0.7019,0.63158,0.63516,0.44414,1.04983,2.82021,1.22901,0.0018812,0.0018812,0.0018812
8,937.57,1.05138,1.62133,1.24448,0.71468,0.72524,0.75494,0.51804,1.15732,2.42285,1.26883,0.0018614,0.0018614,0.0018614
9,1053.29,1.17052,1.90283,1.29293,0.80088,0.60526,0.7323,0.502,1.22749,2.44007,1.27329,0.0018416,0.0018416,0.0018416
10,1167.74,1.13678,1.69116,1.27107,0.73868,0.8183,0.87081,0.56479,1.13176,2.22017,1.27351,0.0018218,0.0018218,0.0018218
11,1282.64,1.09927,1.43028,1.22055,0.85986,0.84211,0.89687,0.62244,1.09232,1.70535,1.2274,0.001802,0.001802,0.001802
12,1397.69,0.93686,1.2505,1.12652,0.87402,0.78947,0.89872,0.64035,1.00031,1.63709,1.16059,0.0017822,0.0017822,0.0017822
13,1510.59,0.97802,1.21697,1.13443,0.8726,0.84211,0.90868,0.61489,1.1066,1.5052,1.19563,0.0017624,0.0017624,0.0017624
14,1623.47,0.99426,1.35541,1.19916,0.87971,0.84211,0.87418,0.65422,1.02735,1.43456,1.19369,0.0017426,0.0017426,0.0017426
15,1735.64,0.99745,1.29605,1.17947,0.87972,0.92105,0.93014,0.66818,1.01431,1.40833,1.15997,0.0017228,0.0017228,0.0017228
16,1847.31,0.98309,1.23594,1.14648,0.93768,0.89474,0.91967,0.67679,1.00608,1.20079,1.1516,0.001703,0.001703,0.001703
17,1960.34,0.90983,1.12828,1.13777,0.77569,0.72819,0.76931,0.54847,1.03159,1.81561,1.17746,0.0016832,0.0016832,0.0016832
18,2073.99,0.94241,1.09037,1.16838,0.92877,0.81579,0.90088,0.67735,0.9936,1.55286,1.17771,0.0016634,0.0016634,0.0016634
19,2191.52,0.94039,1.079,1.11803,0.90499,0.81579,0.91898,0.69338,1.03012,1.15274,1.18397,0.0016436,0.0016436,0.0016436
20,2308.26,0.99024,0.99097,1.14645,0.90133,0.89474,0.90837,0.64395,1.05461,1.11623,1.17088,0.0016238,0.0016238,0.0016238
21,2421.09,0.97746,0.97335,1.16192,0.76316,0.94737,0.86697,0.63708,1.01125,1.19966,1.16897,0.001604,0.001604,0.001604
22,2533.33,0.97834,0.99544,1.16772,0.92669,0.78947,0.92579,0.65161,1.10224,1.2121,1.18712,0.0015842,0.0015842,0.0015842
23,2646.5,0.98965,1.00569,1.17752,0.93885,0.92105,0.95153,0.70667,0.94505,1.07713,1.09332,0.0015644,0.0015644,0.0015644
24,2758.88,0.87596,1.3057,1.09223,0.97117,0.88672,0.96533,0.7432,0.88986,0.9322,1.10525,0.0015446,0.0015446,0.0015446
25,2870.86,0.87044,0.89847,1.14059,0.93161,0.89474,0.94135,0.69377,0.97294,1.04345,1.16879,0.0015248,0.0015248,0.0015248
26,2981.82,0.94032,0.89932,1.14052,1,0.88708,0.97306,0.68915,1.04178,0.84527,1.19385,0.001505,0.001505,0.001505
27,3093.5,0.93202,0.92558,1.16545,0.94221,0.92105,0.94515,0.68258,0.95869,0.95774,1.15485,0.0014852,0.0014852,0.0014852
28,3205.77,0.88648,0.89141,1.119,1,0.86661,0.96316,0.7107,1.01095,0.85193,1.1611,0.0014654,0.0014654,0.0014654
29,3317.61,0.97166,0.9632,1.17787,0.97355,0.96873,0.98709,0.7121,1.03063,0.87227,1.17515,0.0014456,0.0014456,0.0014456
30,3429.88,0.87645,0.84483,1.11596,0.94071,0.83515,0.94586,0.67736,1.00235,1.03589,1.14873,0.0014258,0.0014258,0.0014258
31,3546.44,0.90153,0.86783,1.13167,0.9152,0.92105,0.96694,0.70588,0.95802,0.88141,1.1368,0.001406,0.001406,0.001406
32,3671.9,0.87709,0.72665,1.09428,0.93996,0.92105,0.96507,0.73181,0.96355,0.92053,1.11928,0.0013862,0.0013862,0.0013862
33,3793.16,0.91195,0.83237,1.11452,0.94398,0.88707,0.93736,0.70738,1.0028,0.87138,1.11205,0.0013664,0.0013664,0.0013664
34,3907.23,0.85031,0.74747,1.06259,0.94549,0.92105,0.95874,0.75375,0.88845,0.8241,1.05806,0.0013466,0.0013466,0.0013466
35,4027.19,0.93556,0.87456,1.1683,0.94991,0.9982,0.99034,0.7553,0.92422,0.7105,1.08949,0.0013268,0.0013268,0.0013268
36,4150.63,0.92476,0.79205,1.12342,0.94263,0.94737,0.98109,0.72073,1.00173,0.73816,1.13679,0.001307,0.001307,0.001307
37,4278.06,0.88576,0.71106,1.08343,0.97234,0.92519,0.98655,0.75328,0.98577,0.75946,1.13434,0.0012872,0.0012872,0.0012872
38,4407.15,0.89923,0.81864,1.13814,0.91583,0.94737,0.97745,0.74392,0.98991,0.78882,1.13337,0.0012674,0.0012674,0.0012674
39,4530.28,0.88076,0.75437,1.16147,0.97025,0.97368,0.98333,0.75854,0.95938,0.72181,1.10525,0.0012476,0.0012476,0.0012476
40,4653.13,0.78384,0.69731,1.04683,0.96366,0.94737,0.98241,0.72795,0.98725,0.77202,1.13672,0.0012278,0.0012278,0.0012278
41,4778.68,0.82988,0.7255,1.09803,0.96424,0.94737,0.98792,0.73689,0.95909,0.69859,1.12028,0.001208,0.001208,0.001208
42,4903.56,0.85793,0.7006,1.06364,0.96411,0.92105,0.97531,0.68139,1.07052,0.74309,1.17769,0.0011882,0.0011882,0.0011882
43,5031.76,0.86775,0.7542,1.1214,0.94587,0.91981,0.93888,0.70864,0.96896,0.76402,1.11232,0.0011684,0.0011684,0.0011684
44,5154.35,0.81526,0.68247,1.046,0.94429,0.92105,0.94585,0.6992,0.96751,0.74694,1.11525,0.0011486,0.0011486,0.0011486
45,5289.15,0.74007,0.60954,1.01911,0.9457,0.91667,0.9401,0.69272,0.98161,0.8004,1.14372,0.0011288,0.0011288,0.0011288
46,5412.69,0.83561,0.68243,1.05514,0.96054,0.94737,0.95067,0.71615,0.99006,0.80451,1.15778,0.001109,0.001109,0.001109
47,5533.36,0.76113,0.65372,1.03517,0.97288,0.94417,0.95255,0.7175,0.93355,0.73345,1.11216,0.0010892,0.0010892,0.0010892
48,5658.71,0.79118,0.60715,1.05331,0.95672,0.94737,0.96654,0.75042,0.9291,0.68226,1.10372,0.0010694,0.0010694,0.0010694
49,5788.71,0.74424,0.64024,1.06216,0.96387,0.94737,0.96788,0.73733,0.94519,0.70594,1.11132,0.0010496,0.0010496,0.0010496
50,5909.95,0.7778,0.62792,1.04355,0.96342,0.94737,0.96663,0.70943,1.00081,0.71135,1.11247,0.0010298,0.0010298,0.0010298
51,6025.47,0.79181,0.60949,1.04673,0.92462,0.96852,0.97049,0.69315,0.99921,0.66599,1.14549,0.00101,0.00101,0.00101
52,6141.39,0.79642,0.62933,1.07823,0.9486,0.97132,0.96999,0.69958,0.98501,0.68727,1.15292,0.0009902,0.0009902,0.0009902
53,6253.17,0.81076,0.65388,1.05331,0.9308,0.89474,0.95985,0.69033,1.01791,0.71769,1.16913,0.0009704,0.0009704,0.0009704
54,6367.74,0.77378,0.64876,1.06439,0.94349,0.97368,0.96768,0.68344,1.00828,0.69512,1.15605,0.0009506,0.0009506,0.0009506
55,6484.72,0.77158,0.56955,1.04419,0.9241,0.97368,0.96624,0.69812,1.01962,0.68953,1.16624,0.0009308,0.0009308,0.0009308
56,6602.55,0.77124,0.62346,1.08219,0.90454,0.97368,0.96577,0.71876,1.00005,0.63746,1.14758,0.000911,0.000911,0.000911
57,6722.06,0.72915,0.53065,1.02599,0.9419,0.94737,0.97096,0.73027,0.99026,0.62967,1.13452,0.0008912,0.0008912,0.0008912
58,6838.95,0.79903,0.64765,1.09689,0.94689,0.93848,0.94234,0.70958,1.00265,0.67781,1.13291,0.0008714,0.0008714,0.0008714
59,6951.81,0.77021,0.57969,1.08121,0.92941,0.94737,0.92614,0.71824,0.96534,0.6362,1.11064,0.0008516,0.0008516,0.0008516
60,7064.56,0.76617,0.57361,1.06545,0.94554,0.94737,0.93425,0.72291,0.92748,0.64393,1.0962,0.0008318,0.0008318,0.0008318
61,7178.08,0.69708,0.61136,0.9777,0.92455,0.96758,0.95479,0.7394,0.91019,0.62135,1.09779,0.000812,0.000812,0.000812
62,7290.27,0.69967,0.53221,1.01593,0.92485,0.97164,0.95922,0.73928,0.91765,0.58858,1.10146,0.0007922,0.0007922,0.0007922
63,7402.5,0.71972,0.57094,1.00513,0.92421,0.9629,0.94359,0.73735,0.93141,0.59954,1.11596,0.0007724,0.0007724,0.0007724
64,7514.86,0.68882,0.5538,1.02656,0.92113,0.94737,0.92217,0.73039,0.90834,0.63499,1.10289,0.0007526,0.0007526,0.0007526
65,7626.92,0.77199,0.59697,1.09252,0.92267,0.9421,0.92592,0.72035,0.93301,0.66096,1.10591,0.0007328,0.0007328,0.0007328
66,7740.07,0.7009,0.53725,1.01482,0.92076,0.91747,0.92946,0.73175,0.9179,0.63955,1.1046,0.000713,0.000713,0.000713
67,7853.38,0.65131,0.50589,0.98492,0.93961,0.94737,0.95782,0.72696,0.9123,0.62515,1.09967,0.0006932,0.0006932,0.0006932
68,7966.31,0.68259,0.52744,1.00071,0.94736,0.94719,0.96598,0.73031,0.92971,0.59613,1.10839,0.0006734,0.0006734,0.0006734
69,8078.23,0.70445,0.53982,1.01181,0.94558,0.92105,0.96965,0.75951,0.93066,0.59771,1.11453,0.0006536,0.0006536,0.0006536
70,8190.71,0.67387,0.50663,0.98905,0.89952,0.94239,0.96582,0.73479,0.91866,0.6193,1.09484,0.0006338,0.0006338,0.0006338
71,8303.84,0.61686,0.48407,0.97007,0.94581,0.9187,0.95984,0.73447,0.89895,0.6096,1.07428,0.000614,0.000614,0.000614
72,8417.37,0.67249,0.50223,0.98703,0.91593,0.92105,0.93609,0.72541,0.89455,0.64243,1.06895,0.0005942,0.0005942,0.0005942
73,8531.32,0.6259,0.487,0.94348,0.87976,0.92105,0.93675,0.71882,0.92076,0.63267,1.09843,0.0005744,0.0005744,0.0005744
74,8648.84,0.62704,0.4858,0.97874,0.92009,0.90913,0.94042,0.71985,0.94602,0.64407,1.11437,0.0005546,0.0005546,0.0005546
75,8763.41,0.65604,0.49294,0.99053,0.89923,0.93946,0.95789,0.73937,0.90321,0.61536,1.09317,0.0005348,0.0005348,0.0005348
76,8876.74,0.63738,0.47199,0.98089,0.89942,0.94145,0.95251,0.73614,0.91022,0.61178,1.09475,0.000515,0.000515,0.000515
77,8990.48,0.60457,0.43019,0.98158,0.9228,0.94381,0.94555,0.73619,0.91922,0.61611,1.10121,0.0004952,0.0004952,0.0004952
78,9103.17,0.71581,0.51221,1.04048,0.91774,0.92105,0.94804,0.73667,0.92115,0.60491,1.10288,0.0004754,0.0004754,0.0004754
79,9193.03,0.64295,0.48033,0.98406,0.91792,0.92105,0.94513,0.73384,0.90134,0.57501,1.10752,0.0004556,0.0004556,0.0004556
80,9269.39,0.59532,0.44762,0.98365,0.91954,0.92105,0.95351,0.73767,0.89075,0.58265,1.1013,0.0004358,0.0004358,0.0004358
81,9359.91,0.61665,0.4385,0.97918,0.92103,0.92075,0.95329,0.73932,0.9061,0.62317,1.09683,0.000416,0.000416,0.000416
82,9438.17,0.60619,0.46306,0.97703,0.92077,0.92105,0.95526,0.73434,0.93719,0.62369,1.10797,0.0003962,0.0003962,0.0003962
83,9515.92,0.61608,0.43986,0.99088,0.91865,0.92105,0.95273,0.73382,0.93625,0.59679,1.11626,0.0003764,0.0003764,0.0003764
84,9602.38,0.61242,0.44655,0.96298,0.91883,0.92105,0.95391,0.76706,0.8895,0.56817,1.09953,0.0003566,0.0003566,0.0003566
85,9681.65,0.56812,0.41193,0.9674,0.91869,0.92105,0.95816,0.76125,0.88693,0.57215,1.10066,0.0003368,0.0003368,0.0003368
86,9783.57,0.61539,0.42751,0.95651,0.91843,0.92105,0.95832,0.75704,0.91602,0.58505,1.10655,0.000317,0.000317,0.000317
87,9862.8,0.56192,0.43695,0.95083,0.91798,0.92105,0.9557,0.74785,0.94889,0.60823,1.10176,0.0002972,0.0002972,0.0002972
88,9941.12,0.59537,0.438,0.96256,0.9173,0.92105,0.95462,0.7523,0.93179,0.6075,1.09765,0.0002774,0.0002774,0.0002774
89,10020.1,0.61446,0.43627,0.98267,0.91801,0.92105,0.96149,0.76509,0.90056,0.57561,1.08669,0.0002576,0.0002576,0.0002576
90,10104.1,0.53688,0.41335,0.94342,0.91911,0.92105,0.9645,0.76424,0.88846,0.56389,1.09359,0.0002378,0.0002378,0.0002378
91,10182.1,0.54267,0.3841,0.9221,0.97551,0.86842,0.9668,0.77643,0.85996,0.53753,1.07241,0.000218,0.000218,0.000218
92,10257.9,0.49419,0.34272,0.87655,0.94122,0.92105,0.95889,0.76051,0.87493,0.5371,1.06401,0.0001982,0.0001982,0.0001982
93,10333.9,0.52889,0.39457,0.92471,1,0.88458,0.96139,0.75205,0.89273,0.53082,1.07268,0.0001784,0.0001784,0.0001784
94,10409.8,0.49763,0.376,0.90082,0.94153,0.92105,0.96374,0.75513,0.91264,0.53865,1.08729,0.0001586,0.0001586,0.0001586
95,10494.6,0.49432,0.34496,0.92442,0.98727,0.86842,0.96944,0.75209,0.91995,0.53214,1.10251,0.0001388,0.0001388,0.0001388
96,10612.6,0.49315,0.34182,0.89335,0.97121,0.88792,0.96851,0.75369,0.90207,0.53684,1.09546,0.000119,0.000119,0.000119
97,10733.8,0.47615,0.3277,0.88723,0.982,0.86842,0.96768,0.76845,0.88698,0.54317,1.0873,9.92e-05,9.92e-05,9.92e-05
98,10852,0.44291,0.3326,0.88445,0.98365,0.86842,0.96782,0.76385,0.88565,0.53962,1.0844,7.94e-05,7.94e-05,7.94e-05
99,10966.5,0.4691,0.36376,0.86418,0.9819,0.86842,0.96768,0.76635,0.89045,0.54097,1.08753,5.96e-05,5.96e-05,5.96e-05
100,11080.5,0.41956,0.3749,0.80793,0.98134,0.86842,0.96741,0.76042,0.89669,0.53999,1.08874,3.98e-05,3.98e-05,3.98e-05
