epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9501,2.38516,4.04121,2.11127,0.97238,0.13889,0.15582,0.0952,2.25015,5.21759,2.23621,0.0002875,0.0002875,0.0002875
2,134.056,1.9245,3.72623,1.72594,0.91039,0.13889,0.1524,0.09695,1.96039,5.49192,1.92514,0.000581684,0.000581684,0.000581684
3,200.923,1.783,3.41929,1.58776,0.94849,0.19444,0.21958,0.13912,1.87423,5.3829,1.86069,0.000869928,0.000869928,0.000869928
4,268.033,1.73302,3.18553,1.54581,0.47197,0.22012,0.24738,0.15952,1.72469,4.8822,1.76542,0.00115223,0.00115223,0.00115223
5,334.693,1.64567,2.97364,1.52606,0.31567,0.28149,0.28954,0.19601,1.69454,5.74517,1.6556,0.0012005,0.0012005,0.0012005
6,400.168,1.57868,2.83503,1.45865,0.55842,0.29469,0.36178,0.23678,1.73641,4.25399,1.60501,0.00118812,0.00118812,0.00118812
7,465.7,1.53447,2.58095,1.43178,0.48043,0.34075,0.37241,0.26187,1.64133,3.72161,1.55724,0.00117575,0.00117575,0.00117575
8,530.984,1.56965,2.65082,1.44906,0.41306,0.37362,0.39083,0.25148,1.66511,3.55159,1.61435,0.00116337,0.00116337,0.00116337
9,596.008,1.52542,2.54573,1.46212,0.3363,0.44319,0.37165,0.24848,1.57383,3.34802,1.56004,0.001151,0.001151,0.001151
10,660.717,1.47075,2.4103,1.40712,0.46852,0.42001,0.41115,0.27849,1.54857,3.11718,1.53514,0.00113863,0.00113863,0.00113863
11,725.702,1.49967,2.22483,1.42138,0.47313,0.48074,0.43863,0.2821,1.55251,2.9025,1.5605,0.00112625,0.00112625,0.00112625
12,790.631,1.45409,2.1415,1.42369,0.48078,0.50536,0.4639,0.30761,1.52184,2.7226,1.56919,0.00111388,0.00111388,0.00111388
13,855.532,1.50659,2.04947,1.40689,0.48088,0.50701,0.48588,0.33952,1.51011,2.65988,1.55669,0.0011015,0.0011015,0.0011015
14,920.082,1.40965,1.91969,1.39427,0.54848,0.4911,0.52145,0.3563,1.3951,2.56391,1.46586,0.00108913,0.00108913,0.00108913
15,984.651,1.42926,1.89871,1.38912,0.65554,0.44463,0.53322,0.36183,1.41161,2.43436,1.47406,0.00107675,0.00107675,0.00107675
16,1048.51,1.42681,1.87228,1.38634,0.55682,0.50229,0.52413,0.34246,1.48433,2.45619,1.50506,0.00106437,0.00106437,0.00106437
17,1112.33,1.3866,1.83348,1.38608,0.54083,0.5923,0.53359,0.35519,1.47555,2.46014,1.45554,0.001052,0.001052,0.001052
18,1176.09,1.32466,1.69638,1.29919,0.54886,0.55918,0.5283,0.35732,1.43101,2.36362,1.42898,0.00103962,0.00103962,0.00103962
19,1239.9,1.34831,1.72534,1.32464,0.64153,0.56846,0.57876,0.37242,1.44521,2.20636,1.47285,0.00102725,0.00102725,0.00102725
20,1304.05,1.33529,1.60039,1.31193,0.6486,0.56426,0.59492,0.39602,1.44993,2.31379,1.48688,0.00101488,0.00101488,0.00101488
21,1367.99,1.33866,1.64177,1.31795,0.55428,0.59782,0.57371,0.38198,1.41193,2.17382,1.44017,0.0010025,0.0010025,0.0010025
22,1431.67,1.37208,1.69898,1.37393,0.75604,0.51302,0.60177,0.39217,1.36163,2.16112,1.39463,0.000990125,0.000990125,0.000990125
23,1494.88,1.27673,1.66232,1.29051,0.7067,0.53424,0.58741,0.3667,1.43113,2.19951,1.44878,0.00097775,0.00097775,0.00097775
24,1557.92,1.28601,1.47241,1.29934,0.67135,0.63256,0.61862,0.40719,1.40343,2.12596,1.44747,0.000965375,0.000965375,0.000965375
25,1621.61,1.33482,1.60056,1.31388,0.64143,0.58839,0.57437,0.3638,1.40767,2.30873,1.44504,0.000953,0.000953,0.000953
26,1686.89,1.2786,1.41339,1.27695,0.655,0.64338,0.61325,0.40618,1.39173,2.45092,1.43587,0.000940625,0.000940625,0.000940625
27,1750.17,1.24744,1.3819,1.26813,0.69407,0.66364,0.62892,0.41364,1.40633,2.37261,1.43985,0.00092825,0.00092825,0.00092825
28,1813.47,1.27926,1.4911,1.2841,0.73317,0.62653,0.64662,0.41273,1.44461,2.10575,1.47587,0.000915875,0.000915875,0.000915875
29,1876.76,1.24285,1.36592,1.25558,0.73612,0.62382,0.63373,0.41992,1.44994,2.24492,1.49207,0.0009035,0.0009035,0.0009035
30,1941.35,1.27147,1.53037,1.35033,0.67484,0.60459,0.61837,0.4058,1.35737,2.1274,1.43873,0.000891125,0.000891125,0.000891125
31,2005.83,1.2348,1.30397,1.24848,0.76854,0.61087,0.64193,0.41163,1.38122,1.92977,1.45201,0.00087875,0.00087875,0.00087875
32,2070.31,1.26144,1.34401,1.26623,0.75368,0.5917,0.63123,0.39307,1.43166,1.92017,1.47569,0.000866375,0.000866375,0.000866375
33,2134.31,1.26129,1.3054,1.27459,0.66274,0.67299,0.66522,0.42151,1.42784,1.93458,1.46294,0.000854,0.000854,0.000854
34,2198.84,1.19982,1.28002,1.26053,0.74221,0.67895,0.69243,0.44962,1.43913,1.92349,1.46762,0.000841625,0.000841625,0.000841625
35,2263.25,1.17648,1.23084,1.21408,0.68934,0.7102,0.68564,0.4504,1.41652,1.77364,1.46742,0.00082925,0.00082925,0.00082925
36,2327.7,1.24285,1.2624,1.23417,0.7404,0.68209,0.69301,0.44879,1.41449,1.80243,1.47025,0.000816875,0.000816875,0.000816875
37,2392.67,1.1507,1.12759,1.19566,0.70271,0.69544,0.6702,0.45637,1.43756,1.99868,1.47164,0.0008045,0.0008045,0.0008045
38,2457.26,1.22693,1.38424,1.26158,0.74645,0.62759,0.65128,0.43779,1.45615,1.90856,1.45548,0.000792125,0.000792125,0.000792125
39,2521.36,1.17628,1.29624,1.22644,0.75702,0.64451,0.66623,0.43754,1.42031,1.85053,1.46147,0.00077975,0.00077975,0.00077975
40,2585.72,1.18798,1.22249,1.23049,0.74964,0.64084,0.66623,0.44402,1.41122,1.83692,1.49115,0.000767375,0.000767375,0.000767375
41,2650.52,1.15291,1.16481,1.20397,0.77254,0.63226,0.70291,0.47287,1.43394,1.74646,1.47578,0.000755,0.000755,0.000755
42,2715.08,1.13904,1.14404,1.19211,0.75889,0.64609,0.70697,0.46973,1.45187,1.6716,1.48479,0.000742625,0.000742625,0.000742625
43,2779.38,1.19661,1.24472,1.24783,0.7982,0.67207,0.71441,0.45905,1.47822,1.7416,1.49787,0.00073025,0.00073025,0.00073025
44,2843.93,1.15086,1.16849,1.23803,0.80292,0.67041,0.71483,0.46201,1.40754,1.76101,1.45711,0.000717875,0.000717875,0.000717875
45,2907.97,1.15808,1.08455,1.17831,0.78058,0.65992,0.6915,0.46766,1.40278,1.80955,1.49829,0.0007055,0.0007055,0.0007055
46,2971.58,1.15219,1.15438,1.22264,0.80661,0.64794,0.70201,0.47865,1.38683,1.63729,1.46444,0.000693125,0.000693125,0.000693125
47,3035.36,1.12164,1.11359,1.22585,0.79272,0.67719,0.68332,0.46792,1.37014,1.58839,1.43659,0.00068075,0.00068075,0.00068075
48,3099.26,1.145,1.20185,1.21895,0.73777,0.68901,0.67631,0.45061,1.39888,1.63272,1.44554,0.000668375,0.000668375,0.000668375
49,3163.11,1.07522,1.03845,1.18911,0.7867,0.65745,0.70768,0.46944,1.34595,1.66728,1.42074,0.000656,0.000656,0.000656
50,3227.46,1.09361,1.0236,1.16179,0.78132,0.68048,0.70335,0.46962,1.31479,1.65008,1.41391,0.000643625,0.000643625,0.000643625
51,3291.28,1.10023,1.00423,1.16047,0.74263,0.67822,0.69314,0.47438,1.33573,1.64574,1.41512,0.00063125,0.00063125,0.00063125
52,3354.68,1.01318,1.03709,1.148,0.80032,0.63996,0.70042,0.48251,1.35258,1.6285,1.41358,0.000618875,0.000618875,0.000618875
53,3419.09,1.08675,1.05497,1.18488,0.76621,0.66287,0.68538,0.47736,1.32106,1.59963,1.40124,0.0006065,0.0006065,0.0006065
54,3482.87,1.07216,1.02526,1.17186,0.68604,0.71909,0.68539,0.4729,1.29692,1.59487,1.39196,0.000594125,0.000594125,0.000594125
55,3546.73,1.09485,1.01553,1.16661,0.78754,0.66739,0.70195,0.47443,1.29304,1.55277,1.3936,0.00058175,0.00058175,0.00058175
